Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
314,,,4,3,7,4,3,7,2,0.8,0.875,43.583333,0.000001,0.000003,0,47,0.000446,0.190476,0.011256,136
315,,,6,1,7,6,1,7,1,1,1,8,0.000098,0.000001,0,49,0.00026,0.095238,0.00505,136
174,,,8,0,8,8,0,8,0,0,0,0,0.000007,0,0,48,0.001111,0.071429,0.023786,136
331,,,0,1,1,0,1,1,1,1,1,0,0,0.000125,0,51,0.000128,0,0,16
330,,,15,0,15,15,0,15,0,0,0,0,0.001837,0,0,50,0.004595,0.085714,0.831235,16
336,,,5,1,6,5,1,6,1,1,1,9.083333,0.000143,0.000197,0,52,0.003222,0.15,0.046091,16
343,,,9,1,10,9,1,10,1,1,1,206.833333,0.002894,0.00001,0,52,0.003433,0.097222,0.080065,16
337,,,0,1,1,0,1,1,1,1,1,0,0,0,6,54,0.000128,0,0,3
313,,,1,0,1,1,0,1,0,0,0,0,0,0,6,53,0.000237,0,0.000376,3
339,,,2,1,3,2,1,3,1,1,1,2.333333,0,0,0,55,0.000229,0.166667,0.001618,92
354,,,10,2,12,10,2,12,2,0.75,0.833333,107,0,0,0,57,0.001877,0.166667,0.078224,124
355,,,9,3,12,9,3,12,1,1,1,41.916667,0,0,0,57,0.001798,0.244444,0.070179,124
356,,,8,2,10,8,2,10,2,0.75,0.833333,1.166667,0,0,0,57,0.0016,0.321429,0.070061,124
176,,,4,0,4,4,0,4,0,0,0,0,0,0,0,56,0.000694,0.5,0.035141,124
360,,,3,2,5,3,2,5,1,1,1,26.5,0.000002,0.000001,0,60,0.000236,0.2,0.011513,125
66,,,3,0,3,3,0,3,0,0,0,0,0,0,0,59,0.000401,0,0.007534,125
340,,,9,0,9,9,0,9,0,0,0,0,0.000012,0,0,58,0.00079,0.138889,0.029269,125
361,,,0,1,1,0,1,1,1,1,1,0,0,0,0,62,0.000128,0,0,125
359,,,10,0,10,10,0,10,0,0,0,0,0.000003,0,0,61,0.000753,0.066667,0.013123,125
362,,,4,3,7,4,3,7,1,1,1,16,0,0.000002,0,66,0.000292,0.166667,0.005972,125
84,,,7,0,7,7,0,7,0,0,0,0,0.000001,0,0,65,0.000568,0.095238,0.017404,125
107,,,25,0,25,25,0,25,0,0,0,0,0.000023,0,0,64,0.001891,0.03,0.059408,125
